Task.Code,Stanhope PFI Task code,Task.Category,Task.RepairArea,Task.Problem,Task.Item,Task.Priority,Task.Communal,Task.Unit,Task.TenureSharedO,Task.TenureRented,Task.TenureSupported,Task.BookOnline,Task.CategoryTip,Task.RepairAreaTip,Task.TaskItemTip,Task.SpecialistContractor
CAR097,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,Communal letterbox is broken,R,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,FALSE
CAR097,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,Communal letterbox is broken,R,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,FALSE
CAR097,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,Communal letterbox is broken,R,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,,FASLE
CAR047,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,Door frame rotten or loose,U,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,"The repair and maintenance of internal doors, frames, hinges and locks is the customers responsibility.",,FALSE
CAR047,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,Door frame rotten or loose,U,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,"The repair and maintenance of internal doors, frames, hinges and locks is the customers responsibility.",,FALSE
CAR047,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,Door frame rotten or loose,U,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,"The repair and maintenance of internal doors, frames, hinges and locks is the customers responsibility.",,FALSE
CAR033,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,"Door loose, sticking or damaged",R,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,"The repair and maintenance of internal doors, frames, hinges and locks is the customers responsibility.",,FALSE
CAR033,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,"Door loose, sticking or damaged",R,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,"The repair and maintenance of internal doors, frames, hinges and locks is the customers responsibility.",,FALSE
CAR033,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,"Door loose, sticking or damaged",R,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,"The repair and maintenance of internal doors, frames, hinges and locks is the customers responsibility.",,FALSE
CAR101,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,Door closer is broken,U,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,"The repair and maintenance of internal doors, frames, hinges and locks is the customers responsibility.",,FALSE
CAR101,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,Door closer is broken,U,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,"The repair and maintenance of internal doors, frames, hinges and locks is the customers responsibility.",,FALSE
